datetime,date,hour,demand,supply,loadshed,peak
2026-08-01T00:00,2026-08-01,0,15953,13279,2674,
2026-08-01T01:00,2026-08-01,1,15272,12482,2790,
2026-08-01T02:00,2026-08-01,2,15114,12374,2740,
2026-08-01T03:00,2026-08-01,3,14989,12309,2680,
2026-08-01T04:00,2026-08-01,4,14642,12036,2606,
2026-08-01T05:00,2026-08-01,5,14759,12200,2559,
2026-08-01T06:00,2026-08-01,6,14414,12194,2220,
2026-08-01T07:00,2026-08-01,7,14052,12196,1856,
2026-08-01T08:00,2026-08-01,8,14297,12404,1893,
2026-08-01T09:00,2026-08-01,9,14547,12547,2000,
2026-08-01T10:00,2026-08-01,10,14871,12825,2046,
2026-08-01T11:00,2026-08-01,11,14880,12993,1887,
2026-08-01T12:00,2026-08-01,12,15593,12942,2651,day
2026-08-01T13:00,2026-08-01,13,15364,12907,2457,
2026-08-01T14:00,2026-08-01,14,15475,12961,2514,
2026-08-01T15:00,2026-08-01,15,15600,13085,2515,
2026-08-01T16:00,2026-08-01,16,15571,13193,2378,
2026-08-01T17:00,2026-08-01,17,14979,13250,1729,
2026-08-01T18:00,2026-08-01,18,14669,13618,1051,
2026-08-01T19:00,2026-08-01,19,16462,14576,1886,
2026-08-01T20:00,2026-08-01,20,16513,14565,1948,
2026-08-01T21:00,2026-08-01,21,16648,14576,2072,evening
2026-08-01T22:00,2026-08-01,22,16334,14754,1580,
2026-08-01T23:00,2026-08-01,23,16330,14456,1874,
2026-08-02T00:00,2026-08-02,0,16551,13300,3251,
2026-08-02T01:00,2026-08-02,1,15725,12772,2953,
2026-08-02T02:00,2026-08-02,2,15532,12552,2980,
2026-08-02T03:00,2026-08-02,3,15355,12341,3014,
2026-08-02T04:00,2026-08-02,4,15245,12313,2932,
2026-08-02T05:00,2026-08-02,5,15158,12320,2838,
2026-08-02T06:00,2026-08-02,6,15031,12402,2629,
2026-08-02T07:00,2026-08-02,7,14956,12480,2476,
2026-08-02T08:00,2026-08-02,8,14960,12270,2690,
2026-08-02T09:00,2026-08-02,9,15258,12472,2786,
2026-08-02T10:00,2026-08-02,10,14958,13158,1800,
2026-08-02T11:00,2026-08-02,11,15168,13596,1572,
2026-08-02T12:00,2026-08-02,12,15914,13749,2165,day
2026-08-02T13:00,2026-08-02,13,15581,13330,2251,
2026-08-02T14:00,2026-08-02,14,15703,13330,2373,
2026-08-02T15:00,2026-08-02,15,16084,13450,2634,
2026-08-02T16:00,2026-08-02,16,15604,13185,2419,
2026-08-02T17:00,2026-08-02,17,15264,13201,2063,
2026-08-02T18:00,2026-08-02,18,14958,13410,1548,
2026-08-02T19:00,2026-08-02,19,16573,14752,1821,
2026-08-02T20:00,2026-08-02,20,16497,14909,1588,
2026-08-02T21:00,2026-08-02,21,17053,14837,2216,evening
2026-08-02T22:00,2026-08-02,22,16422,14556,1866,
2026-08-02T23:00,2026-08-02,23,16463,14082,2381,
2026-08-03T00:00,2026-08-03,0,16635,13403,3232,
2026-08-03T01:00,2026-08-03,1,16044,12532,3512,
2026-08-03T02:00,2026-08-03,2,15952,12468,3484,
2026-08-03T03:00,2026-08-03,3,15788,12390,3398,
2026-08-03T04:00,2026-08-03,4,15536,12225,3311,
2026-08-03T05:00,2026-08-03,5,15205,11971,3234,
2026-08-03T06:00,2026-08-03,6,14686,11392,3294,
2026-08-03T07:00,2026-08-03,7,14638,11599,3039,
2026-08-03T08:00,2026-08-03,8,14854,11823,3031,
2026-08-03T09:00,2026-08-03,9,15020,12016,3004,
2026-08-03T10:00,2026-08-03,10,15085,12429,2656,
2026-08-03T11:00,2026-08-03,11,14944,12870,2074,
2026-08-03T12:00,2026-08-03,12,15731,13015,2716,day
2026-08-03T13:00,2026-08-03,13,15833,13210,2623,
2026-08-03T14:00,2026-08-03,14,15828,13416,2412,
2026-08-03T15:00,2026-08-03,15,15940,13363,2577,
2026-08-03T16:00,2026-08-03,16,15691,13480,2211,
2026-08-03T17:00,2026-08-03,17,15436,13324,2112,
2026-08-03T18:00,2026-08-03,18,15372,13458,1914,
2026-08-03T19:00,2026-08-03,19,16951,14592,2359,
2026-08-03T20:00,2026-08-03,20,16743,14649,2094,
